Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.09802E-3,52.467055147,0.693543098,0.066552901,0.375,0.666666667
5.09811E-3,52.976866291,0.69354987,0.065699659,0.375,0.666666667
5.09873E-3,53.486739065,0.693593681,0.064846416,0.375,0.666666667
5.10079E-3,53.996817908,0.693740126,0.063993174,0.375,0.666666667
5.10354E-3,54.507172089,0.693935687,0.063139932,0.375,0.666666667
5.10356E-3,55.017527984,0.693936904,0.062286689,0.375,0.666666667
5.10424E-3,55.527952135,0.693985364,0.061433447,0.375,0.666666667
5.10828E-3,56.038779987,0.694271824,0.060580205,0.375,0.666666667
5.11593E-3,56.550373381,0.694814305,0.059726962,0.375,0.666666667
5.13046E-3,57.063419292,0.695840946,0.05887372,0.375,0.666666667
5.13267E-3,57.576686087,0.695996766,0.058020478,0.375,0.666666667
5.16023E-3,58.09270935,0.697934564,0.057167235,0.375,0.666666667
5.16068E-3,58.608777055,0.697965706,0.056313993,0.375,0.666666667
5.16943E-3,59.125720443,0.698578659,0.055460751,0.375,0.666666667
5.16944E-3,59.64266449,0.698579119,0.054607509,0.375,0.666666667
5.17138E-3,60.159802032,0.698714393,0.053754266,0.375,0.666666667
5.17309E-3,60.677110585,0.698833896,0.052901024,0.375,0.666666667
5.17845E-3,61.194955827,0.699208632,0.052047782,0.375,0.666666667
5.1919E-3,61.714145329,0.700145194,0.051194539,0.375,0.666666667
5.19498E-3,62.233643458,0.700359806,0.050341297,0.4375,0.666666667
5.20897E-3,62.754540868,0.70133091,0.049488055,0.5,0.666666667
5.20929E-3,63.27547028,0.701353083,0.048634812,0.5625,0.666666667
5.22423E-3,63.797893586,0.702386298,0.04778157,0.5625,0.666666667
5.25156E-3,64.323049948,0.704267307,0.046928328,0.5625,0.666666667
5.25794E-3,64.848843993,0.704704475,0.046075085,0.5625,0.666666667
5.26029E-3,65.374872889,0.704865315,0.045221843,0.5625,0.666666667
5.29044E-3,65.90391704,0.706922587,0.044368601,0.5625,0.666666667
5.29842E-3,66.433759446,0.707464822,0.043515358,0.5625,0.666666667
5.29922E-3,66.963681932,0.707519163,0.042662116,0.5625,0.666666667
5.31318E-3,67.495000414,0.708464842,0.041808874,0.5625,0.666666667
5.31523E-3,68.026523867,0.708603437,0.040955631,0.5625,0.666666667
5.32057E-3,68.558580626,0.708963731,0.040102389,0.5625,0.666666667
5.32566E-3,69.091147081,0.709307658,0.039249147,0.5625,0.666666667
5.32636E-3,69.62378344,0.709354796,0.038395904,0.5625,0.666666667
5.33125E-3,70.156908805,0.709684327,0.037542662,0.5625,0.666666667
5.34684E-3,70.69159276,0.710732138,0.03668942,0.5625,0.666666667
5.35077E-3,71.226669279,0.710995454,0.035836177,0.5625,0.666666667
5.37341E-3,71.764009993,0.712509517,0.034982935,0.625,0.666666667
5.37416E-3,72.301426367,0.712559973,0.034129693,0.625,0.666666667
5.37841E-3,72.839267297,0.712842939,0.033276451,0.625,0.666666667
5.40121E-3,73.379388329,0.714357863,0.032423208,0.625,0.666666667
5.42183E-3,73.92157084,0.715720652,0.031569966,0.625,0.666666667
5.42516E-3,74.464086752,0.715940443,0.030716724,0.625,0.666666667
5.43346E-3,75.007433129,0.716487179,0.029863481,0.625,0.666666667
5.45616E-3,75.553048844,0.717975835,0.029010239,0.6875,0.666666667
5.45902E-3,76.098950631,0.71816294,0.028156997,0.6875,0.666666667
5.46826E-3,76.645776369,0.718766397,0.027303754,0.6875,0.666666667
5.47385E-3,77.193161693,0.71913125,0.026450512,0.6875,0.666666667
5.48347E-3,77.741508832,0.719757253,0.02559727,0.6875,0.666666667
5.51125E-3,78.292633712,0.721557338,0.024744027,0.6875,0.666666667
5.58833E-3,78.851466618,0.72649211,0.023890785,0.6875,0.666666667
5.59211E-3,79.41067793,0.726732105,0.023037543,0.6875,0.666666667
5.5998E-3,79.970657682,0.727218823,0.0221843,0.6875,0.666666667
5.60032E-3,80.530689187,0.727251571,0.021331058,0.6875,0.666666667
5.60307E-3,81.090995985,0.727425705,0.020477816,0.6875,0.666666667
5.62841E-3,81.653836748,0.729023331,0.019624573,0.6875,0.666666667
5.71785E-3,82.225621258,0.73458774,0.018771331,0.6875,0.666666667
5.74378E-3,82.79999884,0.736179565,0.017918089,0.6875,0.666666667
5.74445E-3,83.374443561,0.736220653,0.017064846,0.6875,0.666666667
5.75475E-3,83.949918556,0.736850362,0.016211604,0.6875,0.666666667
5.78655E-3,84.528573289,0.738784372,0.015358362,0.6875,0.666666667
5.81853E-3,85.110425906,0.740715083,0.014505119,0.6875,0.666666667
5.86664E-3,85.697089782,0.743593011,0.013651877,0.6875,0.666666667
5.87479E-3,86.284569237,0.744077686,0.012798635,0.6875,0.666666667
5.88376E-3,86.872945153,0.744609369,0.011945392,0.6875,0.666666667
6.07843E-3,87.480788043,0.755886512,0.01109215,0.6875,0.666666667
6.13046E-3,88.093833768,0.758815239,0.010238908,0.6875,0.666666667
6.15795E-3,88.709628866,0.760348672,0.009385666,0.6875,0.666666667
6.96464E-3,89.406092824,0.801250932,0.008532423,0.6875,1
6.97472E-3,90.103564996,0.801715251,0.007679181,0.6875,1
8.27564E-3,90.931128557,0.853370672,0.006825939,0.6875,1
8.7827E-3,91.809398841,0.869643324,0.005972696,0.6875,1
